id,latitude,longitude,city
21.0,37.7896254,-122.400811,San Francisco
13.0,37.794230999999996,-122.402923,San Francisco
23.0,37.791464000000005,-122.391034,San Francisco
81.0,37.77588,-122.39317,San Francisco
86.0,37.76930529999999,-122.4268256,San Francisco
3.0,37.78637526861584,-122.40490436553955,San Francisco
375.0,37.77483629413345,-122.44654566049576,San Francisco
70.0,37.77331087889723,-122.44429260492323,San Francisco
7.0,37.8045623549303,-122.27173805236816,Oakland
222.0,37.7927143,-122.24877959999999,Oakland
93.0,37.770407399999996,-122.39119840000002,San Francisco
323.0,37.79801364395978,-122.40595042705534,San Francisco
300.0,37.3172979,-121.88499499999999,San Jose
312.0,37.329732,-121.90178200000001,San Jose
10.0,37.795392937254526,-122.4047702550888,San Francisco
127.0,37.7567083,-122.421025,San Francisco
19.0,37.788975,-122.403452,San Francisco
121.0,37.75921029999999,-122.4213392,San Francisco
370.0,37.7873267660624,-122.41327822208405,San Francisco
43.0,37.7787677,-122.41592920000001,San Francisco
44.0,37.7810737,-122.4117382,San Francisco
343.0,37.783171989315306,-122.39357203245164,San Francisco
252.0,37.865846600000005,-122.26744309999998,Berkeley
244.0,37.87367621459825,-122.26848721504213,Berkeley
243.0,37.8693603,-122.25433740000001,Berkeley
349.0,37.78100971717512,-122.40566611289978,San Francisco
60.0,37.774520401136854,-122.4094493687153,San Francisco
131.0,37.75500026037814,-122.42572769522668,San Francisco
71.0,37.773062700000004,-122.4390777,San Francisco
74.0,37.77643481920474,-122.42624402046205,San Francisco
336.0,37.76328094058097,-122.4073773622513,San Francisco
321.0,37.78014570345598,-122.40307085237872,San Francisco
75.0,37.773793206088705,-122.42123901844023,San Francisco
180.0,37.8126783,-122.2687726,Oakland
72.0,37.772406,-122.4356498,San Francisco
107.0,37.7630152,-122.42649679999998,San Francisco
163.0,37.7973195,-122.26531990000001,Oakland
221.0,37.794396,-122.25384199999999,Oakland
52.0,37.7774157,-122.4418376,San Francisco
269.0,37.862319899999996,-122.258801,Berkeley
190.0,37.8302232,-122.2709501,Oakland
189.0,37.83964879999999,-122.2717561,Oakland
196.0,37.80889393398715,-122.25646018981932,Oakland
6.0,37.80477,-122.40323400000001,San Francisco
15.0,37.795392,-122.394203,San Francisco
78.0,37.7737172,-122.41164669999999,San Francisco
258.0,37.8723555,-122.26644669999999,Berkeley
263.0,37.862827100000004,-122.29023049999999,Berkeley
238.0,37.8717192,-122.27306770000001,Berkeley
28.0,37.78716801474664,-122.38809792330359,San Francisco
50.0,37.780526,-122.39028799999998,San Francisco
109.0,37.7633158,-122.4219039,San Francisco
73.0,37.7717933,-122.43370790000002,San Francisco
98.0,37.765052000000004,-122.42186609999999,San Francisco
373.0,37.75179164525661,-122.40521550178528,San Francisco
133.0,37.7552126,-122.42097520000002,San Francisco
113.0,37.764555,-122.41034499999999,San Francisco
115.0,37.7650259,-122.39877340000001,San Francisco
220.0,37.8113514,-122.2734217,Oakland
122.0,37.760298999999996,-122.418892,San Francisco
96.0,37.7662102,-122.4266136,San Francisco
58.0,37.776619000000004,-122.41738500000001,San Francisco
145.0,37.7436839,-122.42680590000002,San Francisco
87.0,37.769757,-122.415674,San Francisco
195.0,37.81231409135146,-122.26077854633331,Oakland
284.0,37.78487208436062,-122.40087568759917,San Francisco
104.0,37.76704457969368,-122.39083349704742,San Francisco
27.0,37.7880593,-122.39186480000001,San Francisco
34.0,37.78398789999999,-122.41240800000001,San Francisco
9.0,37.798572108462565,-122.40086898207666,San Francisco
140.0,37.7478584,-122.42498629999999,San Francisco
132.0,37.751819399999995,-122.42661389999999,San Francisco
310.0,37.335885,-121.88566000000002,San Jose
294.0,37.327581,-121.88455900000001,San Jose
53.0,37.775946000000005,-122.4377775,San Francisco
377.0,37.771916882623145,-122.4537044763565,San Francisco
106.0,37.7632417,-122.4306746,San Francisco
340.0,37.849734999999995,-122.270582,Berkeley
216.0,37.8178269,-122.2756976,Oakland
11.0,37.79728,-122.398436,San Francisco
62.0,37.77779057034257,-122.40643188357352,San Francisco
138.0,37.7509004,-122.42741140000001,San Francisco
240.0,37.866043100000006,-122.2588044,Berkeley
61.0,37.7765126,-122.4113061,San Francisco
118.0,37.7591769,-122.4369431,San Francisco
36.0,37.78383,-122.39887,San Francisco
345.0,37.76648269643949,-122.39827930927277,San Francisco
239.0,37.8688126,-122.25876399999999,Berkeley
266.0,37.8624644,-122.26479109999998,Berkeley
182.0,37.809012599999996,-122.2682473,Oakland
197.0,37.808847899999996,-122.24967990000002,Oakland
119.0,37.7610471,-122.43264170000002,San Francisco
369.0,37.78734902316596,-122.41665109992027,San Francisco
159.0,37.8160598,-122.27824440000002,Oakland
254.0,37.88022244590679,-122.26959228515624,Berkeley
30.0,37.776598,-122.39528200000001,San Francisco
356.0,37.769188178104585,-122.42228507995605,San Francisco
64.0,37.776753899999996,-122.3990176,San Francisco
324.0,37.78829997815083,-122.40853071212769,San Francisco
386.0,37.75210498442358,-122.41972357034685,San Francisco
67.0,37.776639200000005,-122.3955263,San Francisco
80.0,37.77523486860596,-122.39743709564208,San Francisco
250.0,37.873558,-122.283093,Berkeley
259.0,37.866248999999996,-122.29937079999999,Berkeley
245.0,37.870139,-122.268422,Berkeley
317.0,37.333954999999996,-121.877349,San Jose
296.0,37.3259984,-121.87711999999999,San Jose
219.0,37.8098236,-122.2801923,Oakland
274.0,37.857567200000005,-122.26755829999999,Berkeley
134.0,37.7524278,-122.42062779999999,San Francisco
77.0,37.773506899999994,-122.4160402,San Francisco
141.0,37.747998100000004,-122.42021869999999,San Francisco
